ticker,asset_name,asset_group,latest_date,latest_close,five_day_return_pct,last_5_close_return_pct,twenty_day_return_pct,sma_20,above_20d_average,last_5_window_start,last_5_window_end,signal,run_timestamp_utc,run_timestamp_et
SPY,S&P 500 proxy,Index proxy,2026-09-18,761.69,-0.34,0.11,-0.12,764.3,False,2026-09-14,2026-09-18,Bearish,2026-09-18T22:35:42.927050+00:00,2026-09-18T18:35:42.927050-04:00
QQQ,Nasdaq 100 proxy,Index proxy,2026-09-18,721.45,0.92,1.73,1.48,713.24,True,2026-09-14,2026-09-18,Bullish,2026-09-18T22:35:42.927050+00:00,2026-09-18T18:35:42.927050-04:00
IWM,Russell 2000 proxy,Index proxy,2026-09-18,284.1,-1.4,-1.07,-4.31,291.87,False,2026-09-14,2026-09-18,Bearish,2026-09-18T22:35:42.927050+00:00,2026-09-18T18:35:42.927050-04:00
XLK,Technology sector proxy,Sector proxy,2026-09-18,189.6,1.03,2.89,3.55,185.37,True,2026-09-14,2026-09-18,Bullish,2026-09-18T22:35:42.927050+00:00,2026-09-18T18:35:42.927050-04:00
XLF,Financials sector proxy,Sector proxy,2026-09-18,55.86,-2.43,-2.05,-1.91,57.38,False,2026-09-14,2026-09-18,Bearish,2026-09-18T22:35:42.927050+00:00,2026-09-18T18:35:42.927050-04:00
XLE,Energy sector proxy,Sector proxy,2026-09-18,64.31,-1.27,-0.34,0.88,64.11,True,2026-09-14,2026-09-18,Mixed / Neutral,2026-09-18T22:35:42.927050+00:00,2026-09-18T18:35:42.927050-04:00
